gene	module
ENSG00000014257	ME5
ENSG00000014641	ME34
ENSG00000014824	ME5
ENSG00000014914	ME4
ENSG00000014919	ME1
ENSG00000015133	ME12
ENSG00000015153	ME1
ENSG00000015171	ME1
ENSG00000015285	ME5
ENSG00000015475	ME3
ENSG00000015479	ME1
ENSG00000015520	ME0
ENSG00000015532	ME1
ENSG00000015568	ME1
ENSG00000015592	ME0
ENSG00000015676	ME1
ENSG00000016391	ME20
ENSG00000016864	ME1
ENSG00000017260	ME0
ENSG00000017427	ME7
ENSG00000017483	ME7
ENSG00000017797	ME1
ENSG00000018189	ME2
ENSG00000018236	ME0
ENSG00000018280	ME4
ENSG00000018408	ME0
ENSG00000018510	ME1
ENSG00000018610	ME1
ENSG00000018625	ME0
ENSG00000018699	ME0
ENSG00000018869	ME1
ENSG00000019102	ME0
ENSG00000019144	ME0
ENSG00000019169	ME4
ENSG00000019186	ME0
ENSG00000019485	ME3
ENSG00000019505	ME0
ENSG00000019549	ME0
ENSG00000019582	ME11
ENSG00000019991	ME5
ENSG00000019995	ME1
ENSG00000020129	ME1
ENSG00000020181	ME4
ENSG00000020256	ME1
ENSG00000020426	ME12
ENSG00000020577	ME18
ENSG00000020633	ME1
ENSG00000020922	ME0
ENSG00000021300	ME1
ENSG00000021355	ME4
ENSG00000021461	ME0
ENSG00000021488	ME2
ENSG00000021574	ME3
ENSG00000021645	ME0
ENSG00000021762	ME0
ENSG00000021776	ME1
ENSG00000021826	ME2
ENSG00000022267	ME0
ENSG00000022277	ME3
ENSG00000022355	ME0
ENSG00000022556	ME25
ENSG00000022567	ME3
ENSG00000022840	ME1
ENSG00000022976	ME5
ENSG00000023041	ME5
ENSG00000023171	ME1
ENSG00000023191	ME1
ENSG00000023228	ME2
ENSG00000023287	ME1
ENSG00000023318	ME36
ENSG00000023330	ME3
ENSG00000023445	ME34
ENSG00000023516	ME1
ENSG00000023572	ME5
ENSG00000023608	ME10
ENSG00000023697	ME1
ENSG00000023734	ME1
ENSG00000023839	ME1
ENSG00000023892	ME8
ENSG00000023902	ME3
ENSG00000023909	ME7
ENSG00000024048	ME3
ENSG00000024422	ME0
ENSG00000024526	ME13
ENSG00000024862	ME1
ENSG00000025039	ME3
ENSG00000025156	ME2
ENSG00000025293	ME0
ENSG00000025423	ME1
ENSG00000025434	ME1
ENSG00000025708	ME4
ENSG00000025770	ME1
ENSG00000025772	ME2
ENSG00000025796	ME14
ENSG00000025800	ME1
ENSG00000026025	ME21
ENSG00000026036	ME2
ENSG00000026103	ME23
ENSG00000026297	ME0
ENSG00000026508	ME1
ENSG00000026559	ME7
ENSG00000026652	ME3
ENSG00000026751	ME1
ENSG00000026950	ME3
ENSG00000027001	ME1
ENSG00000027075	ME36
ENSG00000027644	ME17
ENSG00000027697	ME1
ENSG00000027847	ME2
ENSG00000027869	ME12
ENSG00000028116	ME24
ENSG00000028137	ME4
ENSG00000028203	ME1
ENSG00000028277	ME1
ENSG00000028310	ME2
ENSG00000028528	ME1
ENSG00000028839	ME1
ENSG00000029153	ME0
ENSG00000029363	ME6
ENSG00000029364	ME14
ENSG00000029534	ME1
ENSG00000029639	ME1
ENSG00000029725	ME11
ENSG00000029993	ME14
ENSG00000030066	ME3
ENSG00000030110	ME19
ENSG00000030419	ME1
ENSG00000030582	ME4
ENSG00000031003	ME2
ENSG00000031081	ME4
ENSG00000031691	ME1
ENSG00000031698	ME5
ENSG00000031823	ME1
ENSG00000032219	ME1
ENSG00000032389	ME1
ENSG00000032444	ME4
ENSG00000032742	ME0
ENSG00000033011	ME1
ENSG00000033030	ME1
ENSG00000033050	ME6
ENSG00000033100	ME0
ENSG00000033122	ME0
ENSG00000033170	ME3
ENSG00000033178	ME1
ENSG00000033327	ME3
ENSG00000033627	ME5
ENSG00000033800	ME1
ENSG00000033867	ME4
ENSG00000034053	ME2
ENSG00000034152	ME1
ENSG00000034239	ME0
ENSG00000034510	ME5
ENSG00000034533	ME0
ENSG00000034677	ME1
ENSG00000034693	ME1
ENSG00000034713	ME1
ENSG00000035115	ME3
ENSG00000035141	ME2
ENSG00000035403	ME5
ENSG00000035499	ME13
ENSG00000035664	ME0
ENSG00000035681	ME2
ENSG00000035687	ME5
ENSG00000035720	ME1
ENSG00000035862	ME3
ENSG00000035928	ME1
ENSG00000036054	ME1
ENSG00000036257	ME1
ENSG00000036448	ME0
ENSG00000036530	ME0
ENSG00000036549	ME2
ENSG00000036565	ME2
ENSG00000036672	ME10
ENSG00000036828	ME0
ENSG00000037042	ME1
ENSG00000037241	ME1
ENSG00000037280	ME20
ENSG00000037474	ME1
ENSG00000037637	ME0
ENSG00000037749	ME1
ENSG00000037757	ME1
ENSG00000037897	ME1
ENSG00000038002	ME1
ENSG00000038210	ME1
ENSG00000038219	ME1
ENSG00000038274	ME1
ENSG00000038295	ME2
ENSG00000038358	ME1
ENSG00000038382	ME13
ENSG00000038427	ME5
ENSG00000038532	ME1
ENSG00000038945	ME3
ENSG00000039068	ME0
ENSG00000039123	ME1
ENSG00000039319	ME2
ENSG00000039523	ME1
ENSG00000039560	ME0
ENSG00000039600	ME0
ENSG00000039650	ME0
ENSG00000039987	ME0
ENSG00000040199	ME1
ENSG00000040275	ME8
ENSG00000040341	ME1
ENSG00000040487	ME4
ENSG00000040531	ME1
ENSG00000040608	ME0
ENSG00000040633	ME2
ENSG00000040933	ME1
ENSG00000041353	ME12
ENSG00000041357	ME24
ENSG00000041515	ME0
ENSG00000041802	ME1
ENSG00000041880	ME7
ENSG00000041982	ME0
ENSG00000041988	ME0
ENSG00000042062	ME3
ENSG00000042088	ME0
ENSG00000042286	ME7
ENSG00000042304	ME3
ENSG00000042317	ME1
ENSG00000042429	ME1
ENSG00000042445	ME1
ENSG00000042493	ME4
ENSG00000042753	ME5
ENSG00000042813	ME0
ENSG00000042832	ME0
ENSG00000042980	ME33
ENSG00000043039	ME0
ENSG00000043093	ME1
ENSG00000043143	ME3
ENSG00000043355	ME1
ENSG00000043462	ME5
ENSG00000043514	ME6
ENSG00000043591	ME0
ENSG00000044090	ME1
ENSG00000044115	ME4
ENSG00000044446	ME1
ENSG00000044459	ME5
ENSG00000044524	ME0
ENSG00000044574	ME32
ENSG00000046604	ME0
ENSG00000046647	ME1
ENSG00000046651	ME1
ENSG00000046653	ME0
ENSG00000046889	ME0
ENSG00000047056	ME3
ENSG00000047188	ME2
ENSG00000047230	ME0
ENSG00000047249	ME1
ENSG00000047315	ME1
ENSG00000047346	ME2
ENSG00000047365	ME0
ENSG00000047410	ME1
ENSG00000047457	ME1
ENSG00000047578	ME2
ENSG00000047579	ME0
ENSG00000047597	ME15
ENSG00000047621	ME2
ENSG00000047634	ME2
ENSG00000047644	ME0
ENSG00000047648	ME15
ENSG00000047662	ME0
ENSG00000047849	ME1
ENSG00000047932	ME6
ENSG00000048028	ME1
ENSG00000048052	ME1
ENSG00000048140	ME1
ENSG00000048162	ME1
ENSG00000048342	ME0
ENSG00000048392	ME1
ENSG00000048405	ME1
ENSG00000048462	ME7
ENSG00000048471	ME11
ENSG00000048544	ME14
ENSG00000048649	ME2
ENSG00000048707	ME0
ENSG00000048740	ME23
ENSG00000048828	ME1
ENSG00000048991	ME1
ENSG00000049089	ME9
ENSG00000049130	ME0
ENSG00000049167	ME1
ENSG00000049192	ME0
ENSG00000049239	ME1
ENSG00000049245	ME1
ENSG00000049246	ME1
ENSG00000049247	ME7
ENSG00000049249	ME0
ENSG00000049323	ME15
ENSG00000049449	ME1
ENSG00000049540	ME3
ENSG00000049541	ME1
ENSG00000049618	ME33
ENSG00000049656	ME13
ENSG00000049759	ME1
ENSG00000049768	ME6
ENSG00000049769	ME1
ENSG00000049860	ME4
ENSG00000049883	ME1
ENSG00000050030	ME0
ENSG00000050130	ME0
ENSG00000050165	ME0
ENSG00000050327	ME0
ENSG00000050344	ME1
ENSG00000050393	ME1
ENSG00000050405	ME1
ENSG00000050426	ME1
ENSG00000050438	ME5
ENSG00000050555	ME0
ENSG00000050628	ME0
ENSG00000050730	ME13
ENSG00000050748	ME5
ENSG00000050767	ME4
ENSG00000050820	ME0
ENSG00000051009	ME0
ENSG00000051108	ME10
ENSG00000051128	ME4
ENSG00000051180	ME13
ENSG00000051341	ME13
ENSG00000051382	ME6
ENSG00000051523	ME8
ENSG00000051596	ME1
ENSG00000051620	ME4
ENSG00000051825	ME4
ENSG00000052126	ME2
ENSG00000052344	ME0
ENSG00000052723	ME3
ENSG00000052749	ME6
ENSG00000052795	ME1
ENSG00000052802	ME1
ENSG00000052841	ME5
ENSG00000053108	ME0
ENSG00000053254	ME7
ENSG00000053328	ME0
ENSG00000053371	ME1
ENSG00000053372	ME0
ENSG00000053501	ME2
ENSG00000053524	ME2
ENSG00000053702	ME0
ENSG00000053747	ME0
ENSG00000053770	ME2
ENSG00000053900	ME1
ENSG00000053918	ME7
ENSG00000054116	ME1
ENSG00000054118	ME2
ENSG00000054148	ME5
ENSG00000054219	ME1
ENSG00000054267	ME1
ENSG00000054277	ME1
ENSG00000054282	ME1
ENSG00000054356	ME0
ENSG00000054392	ME1
ENSG00000054523	ME1
ENSG00000054598	ME9
ENSG00000054611	ME1
ENSG00000054654	ME26
ENSG00000054690	ME0
ENSG00000054793	ME0
ENSG00000054965	ME1
ENSG00000054967	ME1
ENSG00000054983	ME0
ENSG00000055044	ME1
ENSG00000055070	ME6
ENSG00000055118	ME3
ENSG00000055130	ME18
ENSG00000055147	ME1
ENSG00000055163	ME1
ENSG00000055208	ME1
ENSG00000055211	ME1
ENSG00000055332	ME38
ENSG00000055483	ME1
ENSG00000055609	ME1
ENSG00000055732	ME0
ENSG00000055917	ME2
ENSG00000055950	ME2
ENSG00000055955	ME1
ENSG00000055957	ME0
ENSG00000056050	ME1
ENSG00000056097	ME1
ENSG00000056277	ME1
ENSG00000056291	ME0
ENSG00000056558	ME9
ENSG00000056586	ME2
ENSG00000056736	ME20
ENSG00000056972	ME2
ENSG00000056998	ME0
ENSG00000057019	ME1
ENSG00000057252	ME14
ENSG00000057294	ME0
ENSG00000057468	ME7
ENSG00000057593	ME0
ENSG00000057608	ME2
ENSG00000057657	ME9
ENSG00000057663	ME32
ENSG00000057704	ME3
ENSG00000057757	ME6
ENSG00000057935	ME17
ENSG00000058056	ME0
ENSG00000058063	ME1
ENSG00000058085	ME0
ENSG00000058091	ME11
ENSG00000058262	ME13
ENSG00000058272	ME0
ENSG00000058335	ME0
ENSG00000058404	ME0
ENSG00000058453	ME32
ENSG00000058600	ME2
ENSG00000058668	ME1
ENSG00000058673	ME6
ENSG00000058729	ME2
ENSG00000058799	ME5
ENSG00000058804	ME37
ENSG00000058866	ME0
ENSG00000059122	ME0
ENSG00000059145	ME5
ENSG00000059377	ME5
ENSG00000059378	ME38
ENSG00000059573	ME1
ENSG00000059588	ME8
ENSG00000059691	ME6
ENSG00000059728	ME21
ENSG00000059758	ME1
ENSG00000059769	ME1
ENSG00000059804	ME6
ENSG00000059915	ME17
ENSG00000060069	ME1
ENSG00000060138	ME10
ENSG00000060140	ME3
ENSG00000060237	ME3
ENSG00000060339	ME5
ENSG00000060491	ME3
ENSG00000060558	ME1
ENSG00000060566	ME0
ENSG00000060642	ME1
ENSG00000060656	ME3
ENSG00000060688	ME1
ENSG00000060709	ME0
ENSG00000060718	ME0
ENSG00000060749	ME0
ENSG00000060762	ME1
ENSG00000060971	ME5
ENSG00000060982	ME3
ENSG00000061273	ME1
ENSG00000061337	ME0
ENSG00000061455	ME0
ENSG00000061656	ME6
ENSG00000061676	ME2
ENSG00000061794	ME2
ENSG00000061918	ME2
ENSG00000061936	ME1
ENSG00000061938	ME38
ENSG00000061987	ME1
ENSG00000062038	ME0
ENSG00000062096	ME0
ENSG00000062194	ME2
ENSG00000062282	ME4
ENSG00000062370	ME1
ENSG00000062485	ME1
ENSG00000062524	ME7
ENSG00000062582	ME9
ENSG00000062598	ME9
ENSG00000062650	ME2
ENSG00000062716	ME2
ENSG00000062725	ME2
ENSG00000062822	ME1
ENSG00000063015	ME0
ENSG00000063046	ME8
ENSG00000063127	ME1
ENSG00000063169	ME0
ENSG00000063176	ME2
ENSG00000063177	ME8
ENSG00000063180	ME0
ENSG00000063241	ME2
ENSG00000063244	ME22
ENSG00000063245	ME3
ENSG00000063322	ME0
ENSG00000063438	ME0
ENSG00000063587	ME2
ENSG00000063601	ME5
ENSG00000063660	ME2
ENSG00000063761	ME1
ENSG00000063854	ME1
ENSG00000063978	ME1
ENSG00000064012	ME1
ENSG00000064042	ME1
ENSG00000064102	ME1
ENSG00000064115	ME1
ENSG00000064199	ME2
ENSG00000064201	ME3
ENSG00000064205	ME0
ENSG00000064225	ME4
ENSG00000064270	ME3
ENSG00000064300	ME23
ENSG00000064309	ME0
ENSG00000064313	ME1
ENSG00000064393	ME23
ENSG00000064419	ME14
ENSG00000064489	ME0
ENSG00000064490	ME2
ENSG00000064545	ME1
ENSG00000064547	ME1
ENSG00000064601	ME4
ENSG00000064607	ME8
ENSG00000064651	ME2
ENSG00000064652	ME0
ENSG00000064655	ME20
ENSG00000064666	ME1
ENSG00000064687	ME1
ENSG00000064692	ME0
ENSG00000064703	ME1
ENSG00000064726	ME1
ENSG00000064763	ME5
ENSG00000064787	ME0
ENSG00000064886	ME1
ENSG00000064932	ME3
ENSG00000064933	ME1
ENSG00000064961	ME3
ENSG00000064989	ME0
ENSG00000064995	ME2
ENSG00000064999	ME1
ENSG00000065000	ME0
ENSG00000065029	ME3
ENSG00000065054	ME0
ENSG00000065057	ME1
ENSG00000065060	ME3
ENSG00000065135	ME16
ENSG00000065150	ME1
ENSG00000065154	ME6
ENSG00000065183	ME3
ENSG00000065243	ME2
ENSG00000065268	ME28
ENSG00000065308	ME7
ENSG00000065320	ME0
ENSG00000065328	ME13
ENSG00000065357	ME9
ENSG00000065361	ME0
ENSG00000065413	ME3
ENSG00000065427	ME14
ENSG00000065457	ME1
ENSG00000065485	ME7
ENSG00000065491	ME0
ENSG00000065518	ME0
ENSG00000065526	ME1
ENSG00000065534	ME15
ENSG00000065548	ME1
ENSG00000065559	ME5
ENSG00000065600	ME1
ENSG00000065613	ME3
ENSG00000065615	ME4
ENSG00000065621	ME0
ENSG00000065665	ME1
ENSG00000065675	ME1
ENSG00000065717	ME9
ENSG00000065802	ME0
ENSG00000065809	ME2
ENSG00000065833	ME0
ENSG00000065882	ME11
ENSG00000065883	ME4
ENSG00000065911	ME8
ENSG00000065923	ME11
ENSG00000065970	ME7
ENSG00000065978	ME1
ENSG00000065989	ME1
ENSG00000066027	ME1
ENSG00000066032	ME0
ENSG00000066044	ME37
ENSG00000066056	ME0
ENSG00000066084	ME2
ENSG00000066117	ME1
ENSG00000066135	ME0
ENSG00000066136	ME2
ENSG00000066185	ME0
ENSG00000066230	ME3
ENSG00000066248	ME7
ENSG00000066279	ME13
ENSG00000066294	ME2
ENSG00000066322	ME2
ENSG00000066336	ME4
ENSG00000066379	ME0
ENSG00000066382	ME0
ENSG00000066405	ME0
ENSG00000066422	ME1
ENSG00000066427	ME3
ENSG00000066455	ME1
ENSG00000066468	ME12
ENSG00000066557	ME1
ENSG00000066583	ME3
ENSG00000066629	ME14
ENSG00000066651	ME0
ENSG00000066654	ME0
ENSG00000066697	ME1
ENSG00000066735	ME0
ENSG00000066739	ME2
ENSG00000066777	ME2
ENSG00000066813	ME0
ENSG00000066827	ME1
ENSG00000066855	ME2
ENSG00000066923	ME5
ENSG00000066926	ME0
ENSG00000066933	ME0
ENSG00000067048	ME25
ENSG00000067057	ME8
ENSG00000067064	ME6
ENSG00000067066	ME38
ENSG00000067082	ME6
ENSG00000067113	ME3
ENSG00000067141	ME26
ENSG00000067167	ME19
ENSG00000067177	ME19
ENSG00000067182	ME4
ENSG00000067191	ME0
ENSG00000067208	ME4
ENSG00000067221	ME1
ENSG00000067225	ME5
ENSG00000067248	ME2
ENSG00000067334	ME6
ENSG00000067365	ME3
ENSG00000067369	ME0
ENSG00000067445	ME1
ENSG00000067533	ME1
ENSG00000067560	ME4
ENSG00000067596	ME1
ENSG00000067606	ME1
ENSG00000067646	ME25
ENSG00000067704	ME1
ENSG00000067715	ME0
ENSG00000067798	ME30
ENSG00000067829	ME3
ENSG00000067836	ME4
ENSG00000067840	ME12
ENSG00000067842	ME0
ENSG00000067900	ME1
ENSG00000067955	ME2
ENSG00000067992	ME1
ENSG00000068001	ME4
ENSG00000068024	ME0
ENSG00000068028	ME12
ENSG00000068078	ME0
ENSG00000068079	ME18
ENSG00000068097	ME0
ENSG00000068120	ME6
ENSG00000068137	ME4
ENSG00000068305	ME3
ENSG00000068308	ME1
ENSG00000068323	ME3
ENSG00000068354	ME1
ENSG00000068366	ME3
ENSG00000068383	ME1
ENSG00000068394	ME1
ENSG00000068400	ME2
ENSG00000068438	ME7
ENSG00000068489	ME13
ENSG00000068615	ME0
ENSG00000068650	ME4
ENSG00000068654	ME2
ENSG00000068697	ME1
ENSG00000068724	ME1
ENSG00000068745	ME1
ENSG00000068781	ME0
ENSG00000068784	ME1
ENSG00000068796	ME1
ENSG00000068831	ME3
ENSG00000068878	ME2
ENSG00000068885	ME1
ENSG00000068903	ME1
ENSG00000068912	ME14
ENSG00000068971	ME1
ENSG00000068976	ME0
ENSG00000069011	ME0
ENSG00000069020	ME0
ENSG00000069122	ME0
ENSG00000069188	ME0
ENSG00000069248	ME2
ENSG00000069275	ME5
ENSG00000069329	ME1
ENSG00000069345	ME1
ENSG00000069399	ME1
ENSG00000069424	ME1
ENSG00000069431	ME0
ENSG00000069493	ME1
ENSG00000069509	ME0
ENSG00000069535	ME5
ENSG00000069667	ME2
ENSG00000069696	ME0
ENSG00000069702	ME12
ENSG00000069764	ME1
ENSG00000069812	ME0
ENSG00000069849	ME16
ENSG00000069869	ME33
ENSG00000069943	ME1
ENSG00000069956	ME1
ENSG00000069966	ME33
ENSG00000069974	ME2
ENSG00000069998	ME1
ENSG00000070010	ME1
ENSG00000070018	ME9
ENSG00000070019	ME0
ENSG00000070031	ME0
ENSG00000070047	ME1
ENSG00000070061	ME22
ENSG00000070081	ME1
ENSG00000070087	ME2
ENSG00000070159	ME0
ENSG00000070182	ME0
ENSG00000070190	ME1
ENSG00000070214	ME1
ENSG00000070269	ME1
ENSG00000070366	ME1
ENSG00000070367	ME6
ENSG00000070371	ME2
ENSG00000070388	ME0
ENSG00000070404	ME4
ENSG00000070413	ME3
ENSG00000070423	ME0
ENSG00000070444	ME1
ENSG00000070476	ME1
ENSG00000070495	ME6
ENSG00000070501	ME1
ENSG00000070526	ME20
ENSG00000070540	ME3
ENSG00000070601	ME0
ENSG00000070610	ME1
ENSG00000070614	ME3
ENSG00000070669	ME0
ENSG00000070718	ME2
ENSG00000070729	ME0
ENSG00000070731	ME4
ENSG00000070756	ME2
ENSG00000070759	ME11
ENSG00000070761	ME10
ENSG00000070770	ME1
ENSG00000070778	ME0
ENSG00000070785	ME1
ENSG00000070808	ME1
ENSG00000070814	ME1
ENSG00000070831	ME1
ENSG00000070882	ME1
ENSG00000070886	ME1
ENSG00000070915	ME0
ENSG00000070950	ME0
ENSG00000070961	ME1
ENSG00000070985	ME8
ENSG00000071051	ME3
ENSG00000071054	ME29
ENSG00000071073	ME8
ENSG00000071082	ME8
ENSG00000071127	ME4
